"","external_gene_name","geneid","log2foldchange","logCPM","F","PValue","p.val_adj","color"
"120","LOC646012","ENSG00000185296",-2.45280085560958,-0.383165957682006,97.0908979477995,1.09537579794327e-18,2.35560565347699e-14,"Downregulated"
"121","SCN4A","ENSG00000007314",-2.4465997828995,-0.983159368341835,92.9393966992875,2.96080494602682e-18,6.36721103643068e-14,"Downregulated"
"122",NA,"ENSG00000180178",-2.42263834849998,1.15457810371897,76.1206181491279,1.60544140059185e-15,3.45250173197277e-11,"Downregulated"
"123","HECW1","ENSG00000002746",-2.41359170444269,2.10718633216115,67.748078743692,3.29281002396729e-14,7.08118795654166e-10,"Downregulated"
"124","GNMT","ENSG00000124713",-2.41252954311865,5.50743619967414,159.170066698857,9.86482418990105e-27,2.12143044203822e-22,"Downregulated"
"125","TRIM63","ENSG00000158022",-2.40012454206149,-0.551823032892196,81.1146730314847,2.44865249987172e-16,5.26582720097414e-12,"Downregulated"
"126","IL31RA","ENSG00000164509",-2.38424818121827,0.900901952076438,124.326606439648,2.30798167193257e-22,4.96331458549099e-18,"Downregulated"
"127","HPSE2","ENSG00000172987",-2.36698743217712,4.05289305733808,91.8733312605217,6.38846825356839e-18,1.37384009792988e-13,"Downregulated"
"128",NA,"ENSG00000257398",-2.36103293557058,2.13377451549144,82.6454217950676,1.54374294201132e-16,3.31981919679534e-12,"Downregulated"
"129","C1QTNF9","ENSG00000240654",-2.35890997864131,-1.46639248581898,173.238021044539,2.10004476076519e-29,4.51614625802555e-25,"Downregulated"
"130","LSAMP-AS1","ENSG00000240922",-2.34963173838489,-1.08308241724979,104.451806449876,5.94836830780186e-20,1.27919660459279e-15,"Downregulated"
"131","HNF1A","ENSG00000135100",-2.33763325506241,0.233084995771918,45.2957549170737,2.12645248400491e-10,4.57293606685256e-06,"Downregulated"
"132","LOC124901407","ENSG00000287094",-2.33707944016129,-0.598948305629666,60.2813098835171,5.22365919842703e-13,1.12334791062173e-08,"Downregulated"
"133","SNTG2-AS1","ENSG00000235688",-2.33321333632278,1.99719336772956,90.177044586207,1.15745523123988e-17,2.48910747478137e-13,"Downregulated"
"134",NA,"ENSG00000224224",-2.33021858000289,-1.203765803607,115.369928991914,1.42362296340301e-21,3.06150118279817e-17,"Downregulated"
"135","KCTD16","ENSG00000183775",-2.32621167740843,-0.21867696598417,88.207806427931,2.33995660686638e-17,5.03207668306616e-13,"Downregulated"
"136","MYH7B","ENSG00000078814",-2.32115370710482,1.4932907042162,132.717455920502,1.81148470550381e-23,3.89559785918594e-19,"Downregulated"
"137","CAMK2A","ENSG00000070808",-2.29928907256917,-0.680092335754964,101.144750712731,2.64994161826926e-19,5.69869945008804e-15,"Downregulated"
"138",NA,"ENSG00000215478",-2.29643217782993,-0.457028539251836,84.0420001236359,9.3781843563901e-17,2.01677854584169e-12,"Downregulated"
"139","LINC00578","ENSG00000228221",-2.29501539799038,3.34526889097145,103.621045491402,1.31957620764752e-19,2.837748634546e-15,"Downregulated"
"140","CCK","ENSG00000187094",-2.29269146661656,2.07780173934614,55.6699960793997,3.26314076814356e-12,7.01738422189273e-08,"Downregulated"
"141","SLC6A3","ENSG00000142319",-2.2893829405418,-0.0807805896537405,81.2016824632053,2.70560407492821e-16,5.81840156313311e-12,"Downregulated"
"142",NA,"ENSG00000266149",-2.28730268772652,-1.43616054495121,84.3015313981672,4.21914073036748e-17,9.07326214065527e-13,"Downregulated"
"143","ALB","ENSG00000163631",-2.28404492913373,4.19578276026308,24.8011260405725,1.45122774537871e-06,0.0312086526643692,"Downregulated"
"144","ALOX15B","ENSG00000179593",-2.2826993563543,7.91030644358712,40.1565993773948,1.73985725140204e-09,3.7415630191401e-05,"Downregulated"
"145","KCNMB2","ENSG00000197584",-2.28092807203018,1.17713943935207,54.5829491827301,5.07538222709774e-12,1.09146094793737e-07,"Downregulated"
"146","GMNC","ENSG00000205835",-2.27426120032006,2.09562009312683,66.90031946533,4.50557120645984e-14,9.68923087949189e-10,"Downregulated"
"147","UNC5A","ENSG00000113763",-2.27411643079801,4.14014358502459,42.0198216928638,7.97834864858534e-10,1.71574387687828e-05,"Downregulated"
"148","TMEM132D","ENSG00000151952",-2.23998219286681,0.272930429921641,83.7853867432481,1.11470014369601e-16,2.39716265901828e-12,"Downregulated"
"149",NA,"ENSG00000189423",-2.21753301197447,0.21169959489788,69.1753453633846,2.04732647877877e-14,4.40277559261375e-10,"Downregulated"
"150",NA,"ENSG00000226306",-2.21179179082952,-0.652295602904088,69.8001032664762,1.4805479745403e-14,3.18391841924891e-10,"Downregulated"
"151","NPR3","ENSG00000113389",-2.20725962188166,5.68971497580727,76.1196150268063,1.53302215749415e-15,3.29676414969117e-11,"Downregulated"
"152",NA,"ENSG00000260719",-2.20161646165814,0.852858050349192,63.816648812793,1.47495375869886e-13,3.17188805808191e-09,"Downregulated"
"153","PTPRZ1","ENSG00000106278",-2.19979242241941,1.62045679910659,64.9446210478896,9.4298211659919e-14,2.02788304174656e-09,"Downregulated"
"154","CYP4F2","ENSG00000186115",-2.19795978760149,1.8495290149226,29.8084035320868,1.52538894696486e-07,0.00328034893044793,"Downregulated"
"155",NA,"ENSG00000265542",-2.18383089103618,-0.227209636180883,85.1748441831615,6.74998009187291e-17,1.45158321875727e-12,"Downregulated"
"156","P3H2","ENSG00000090530",-2.17770850659915,6.48178512536021,66.1207535896812,5.96191776974214e-14,1.28211041638305e-09,"Downregulated"
"157","STAC3","ENSG00000185482",-2.17352609443629,2.72381216975921,102.364682439656,1.99189742258778e-19,4.28357540727503e-15,"Downregulated"
"158","LINC02815","ENSG00000236975",-2.17118197901538,1.05059023501426,84.7656738421159,7.64486313082849e-17,1.64402781628467e-12,"Downregulated"
"159","LOC101929572","ENSG00000276888",-2.17022553748651,2.38485020093524,71.2405534830701,9.04412612998033e-15,1.94493932425227e-10,"Downregulated"
